0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:23 +0530] "GET /ShopingCartFrontEnd/resources/images/feature15.jpg;jsessionid=ACA00F9E883FC631BC5C0FD89FE04933 HTTP/1.1" 200 30899
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:23 +0530] "GET /ShopingCartFrontEnd/resources/images/retail.png;jsessionid=ACA00F9E883FC631BC5C0FD89FE04933 HTTP/1.1" 200 76272
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:23 +0530] "GET /ShopingCartFrontEnd/resources/images/HT.jpg;jsessionid=ACA00F9E883FC631BC5C0FD89FE04933 HTTP/1.1" 200 40101
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:32 +0530] "GET /ShopingCartFrontEnd/login.jsp HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:32 +0530] "GET /ShopingCartFrontEnd/resources/images/background2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:32 +0530] "GET /ShopingCartFrontEnd/resources/images/dd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2016:11:27:32 +0530] "GET /ShopingCartFrontEnd/resources/images/x.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2016:12:17:29 +0530] "GET /ShopingCartFrontEnd/ HTTP/1.1" 200 12743
0:0:0:0:0:0:0:1 - - [11/Jul/2016:12:17:29 +0530] "GET /ShopingCartFrontEnd/resources/images/background2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:12:17:29 +0530] "GET /ShopingCartFrontEnd/resources/images/chromo.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:23:39 +0530] "GET /ShopingCartFrontEnd/ HTTP/1.1" 200 12743
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:23:39 +0530] "GET /ShopingCartFrontEnd/resources/images/background2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:23:40 +0530] "GET /ShopingCartFrontEnd/resources/images/chromo.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:23:47 +0530] "GET /ShopingCartFrontEnd/login.jsp HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:23:47 +0530] "GET /ShopingCartFrontEnd/resources/images/background2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:24:09 +0530] "POST /ShopingCartFrontEnd/isValidUser HTTP/1.1" 500 21488
0:0:0:0:0:0:0:1 - - [11/Jul/2016:15:24:20 +0530] "GET /ShopingCartFrontEnd/resources/images/background2.jpg HTTP/1.1" 404 992
